NO	YEAR	MONTH	DAY	HOUR	PM25	DEWPOINT	TEMP	PRESION	WIND_DIRECTION	WIND_SPEED	SNOW	RAIN	FECHA	FECHA_SIN_H	WIND_DIRECTION_NE	WIND_DIRECTION_NW	WIND_DIRECTION_SE	WIND_DIRECTION_cv	PM25_MICE	DEWPOINT_scaled	TEMP_scaled	PRESION_scaled	WIND_SPEED_scaled	SNOW_scaled	RAIN_scaled
1	2010	1	1	0		-21	-11.0	1021.0	NW	1.79	0	0	2010-01-01 00:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.5808778897952718	-1.922250447459466	0.4433276451897058	-0.44189384517851676	-0.06935299275073498	-0.13766709160563317
2	2010	1	1	1		-21	-12.0	1020.0	NW	4.92	0	0	2010-01-01 01:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.5808778897952718	-2.00422791708744	0.34594320431796793	-0.3793064428671997	-0.06935299275073498	-0.13766709160563317
3	2010	1	1	2		-21	-11.0	1019.0	NW	6.71	0	0	2010-01-01 02:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.5808778897952718	-1.922250447459466	0.24855876344623	-0.343513647296191	-0.06935299275073498	-0.13766709160563317
4	2010	1	1	3		-21	-14.0	1019.0	NW	9.84	0	0	2010-01-01 03:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.5808778897952718	-2.168182856343389	0.24855876344623	-0.280926244984874	-0.06935299275073498	-0.13766709160563317
5	2010	1	1	4		-20	-12.0	1018.0	NW	12.97	0	0	2010-01-01 04:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.5115935479453984	-2.00422791708744	0.1511743225744921	-0.21833884267355702	-0.06935299275073498	-0.13766709160563317
6	2010	1	1	5		-19	-10.0	1017.0	NW	16.1	0	0	2010-01-01 05:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.442309206095525	-1.8402729778314917	0.05378988170275419	-0.15575144036224	-0.06935299275073498	-0.13766709160563317
7	2010	1	1	6		-19	-9.0	1017.0	NW	19.23	0	0	2010-01-01 06:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.442309206095525	-1.7582955082035174	0.05378988170275419	-0.09316403805092305	-0.06935299275073498	-0.13766709160563317
8	2010	1	1	7		-19	-9.0	1017.0	NW	21.02	0	0	2010-01-01 07:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.442309206095525	-1.7582955082035174	0.05378988170275419	-0.057371242479914306	-0.06935299275073498	-0.13766709160563317
9	2010	1	1	8		-19	-9.0	1017.0	NW	24.15	0	0	2010-01-01 08:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.442309206095525	-1.7582955082035174	0.05378988170275419	0.005216159831402662	-0.06935299275073498	-0.13766709160563317
10	2010	1	1	9		-20	-8.0	1017.0	NW	27.28	0	0	2010-01-01 09:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.5115935479453984	-1.6763180385755432	0.05378988170275419	0.06780356214271971	-0.06935299275073498	-0.13766709160563317
11	2010	1	1	10		-19	-7.0	1017.0	NW	31.3	0	0	2010-01-01 10:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.442309206095525	-1.5943405689475687	0.05378988170275419	0.1481873823636444	-0.06935299275073498	-0.13766709160563317
12	2010	1	1	11		-18	-5.0	1017.0	NW	34.43	0	0	2010-01-01 11:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.3730248642456515	-1.4303856296916202	0.05378988170275419	0.21077478467496136	-0.06935299275073498	-0.13766709160563317
13	2010	1	1	12		-19	-5.0	1015.0	NW	37.56	0	0	2010-01-01 12:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.442309206095525	-1.4303856296916202	-0.1409790000407216	0.2733621869862784	-0.06935299275073498	-0.13766709160563317
14	2010	1	1	13		-18	-3.0	1015.0	NW	40.69	0	0	2010-01-01 13:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.3730248642456515	-1.266430690435672	-0.1409790000407216	0.3359495892975953	-0.06935299275073498	-0.13766709160563317
15	2010	1	1	14		-18	-2.0	1014.0	NW	43.82	0	0	2010-01-01 14:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.3730248642456515	-1.1844532208076974	-0.23836344091245953	0.3985369916089123	-0.06935299275073498	-0.13766709160563317
16	2010	1	1	15		-18	-1.0	1014.0	cv	0.89	0	0	2010-01-01 15:00:00	2010-01-01	0.0	0.0	0.0	1.0	98.61321455085375	-1.3730248642456515	-1.1024757511797232	-0.23836344091245953	-0.4598902228399178	-0.06935299275073498	-0.13766709160563317
17	2010	1	1	16		-19	-2.0	1015.0	NW	1.79	0	0	2010-01-01 16:00:00	2010-01-01	0.0	1.0	0.0	0.0	98.61321455085375	-1.442309206095525	-1.1844532208076974	-0.1409790000407216	-0.44189384517851676	-0.06935299275073498	-0.13766709160563317
