PM25	YEAR	month_sin_scaled	month_cos_scaled	hour_sin_scaled	hour_cos_scaled	WIND_DIRECTION_NW	WIND_DIRECTION_cv	WIND_DIRECTION_SE	WIND_DIRECTION_NE	WIND_SPEED_lag1_scaled	DEWPOINT_scaled	TEMP_lag21_scaled	RAIN_scaled	SNOW_scaled	PRESION_scaled
148.0	2010	0.7075182210761756	1.2202242596294082	0.3664387442601352	1.3654385851569646	0.0	0.0	1.0	0.0	-0.4452725973251146	-1.160544466844167	-2.0026035959067454	-0.1374100949985415	-0.0710580855827398	0.345334126976664
159.0	2010	0.7075182210761756	1.2202242596294082	0.7073977116281266	1.224107191011097	0.0	0.0	1.0	0.0	-0.4273069818560824	-0.8834094255250218	-1.8383467119862176	-0.1374100949985415	-0.0710580855827398	0.442414740210252
181.0	2010	0.7075182210761756	1.2202242596294082	1.000185814562252	0.9992814102546635	0.0	0.0	1.0	0.0	-0.4093413663870502	-0.6062743842058769	-1.756218270025954	-0.1374100949985415	1.212845601822231	0.5394953534438401
138.0	2010	0.7075182210761756	1.2202242596294082	1.2248500277027683	0.7062827483040456	0.0	0.0	1.0	0.0	-0.3732082746010192	-0.6062743842058769	-1.756218270025954	-0.1374100949985415	2.496749289227201	0.5394953534438401
109.0	2010	0.7075182210761756	1.2202242596294082	1.366079856199316	0.3650785797679944	0.0	0.0	1.0	0.0	-0.355242659131987	-0.6062743842058769	-1.756218270025954	-0.1374100949985415	3.780652976632172	0.5394953534438401
105.0	2010	0.7075182210761756	1.2202242596294082	1.414250720633182	-0.0010785951343063	0.0	0.0	1.0	0.0	-0.3372770436629547	-0.6062743842058769	-1.6740898280656902	-0.1374100949985415	5.064556664037142	0.6365759666774282
124.0	2010	0.7075182210761756	1.2202242596294082	1.366079856199316	-0.3672357700366072	0.0	0.0	1.0	0.0	-0.3011439518769237	-0.6062743842058769	-1.5919613861054265	-0.1374100949985415	-0.0710580855827398	0.7336565799110163
120.0	2010	0.7075182210761756	1.2202242596294082	1.2248500277027683	-0.7084399385726579	0.0	0.0	1.0	0.0	-0.2650108600908926	-0.6755581445356631	-1.4277045021848986	-0.1374100949985415	-0.0710580855827398	0.7336565799110163
132.0	2010	0.7075182210761756	1.2202242596294082	1.0001858145622522	-1.001438600523276	0.0	0.0	1.0	0.0	-0.2288777683048616	-0.6062743842058769	-1.4277045021848986	-0.1374100949985415	-0.0710580855827398	0.8307371931446044
140.0	2010	0.7075182210761756	1.2202242596294082	0.7073977116281266	-1.2262643812797096	0.0	0.0	1.0	0.0	-0.1927446765188305	-0.6062743842058769	-1.263447618264371	-0.1374100949985415	1.212845601822231	0.9278178063781924
152.0	2010	0.7075182210761756	1.2202242596294082	0.3664387442601356	-1.367595775425577	0.0	0.0	1.0	0.0	-0.1295622311052678	-0.6755581445356631	-1.181319176304107	-0.1374100949985415	-0.0710580855827398	0.9278178063781924
148.0	2010	0.7075182210761756	1.2202242596294082	0.0005447026230715	-1.41580128201101	0.0	0.0	1.0	0.0	-0.0663797856917051	-0.6755581445356631	-1.0991907343438434	-0.1374100949985415	-0.0710580855827398	0.9278178063781924
164.0	2010	0.7075182210761756	1.2202242596294082	-0.3653493390139925	-1.3675957754255772	0.0	0.0	1.0	0.0	-0.0031973402781424	-0.6755581445356631	-1.181319176304107	-0.1374100949985415	-0.0710580855827398	0.8307371931446044
158.0	2010	0.7075182210761756	1.2202242596294082	-0.7063083063819836	-1.2262643812797098	0.0	0.0	1.0	0.0	0.0779507206044524	-0.7448419048654493	-1.263447618264371	-0.1374100949985415	-0.0710580855827398	0.8307371931446044
154.0	2010	0.7075182210761756	1.2202242596294082	-0.9990964093161088	-1.0014386005232767	0.0	0.0	1.0	0.0	0.1590987814870473	-0.7448419048654493	-1.4277045021848986	-0.1374100949985415	-0.0710580855827398	0.8307371931446044
159.0	2010	0.7075182210761756	1.2202242596294082	-1.223760622456625	-0.7084399385726589	0.0	0.0	1.0	0.0	0.2402468423696422	-0.7448419048654493	-1.345576060224635	-0.1374100949985415	-0.0710580855827398	0.9278178063781924
164.0	2010	0.7075182210761756	1.2202242596294082	-1.3649904509531734	-0.3672357700366072	0.0	0.0	1.0	0.0	0.2763799341556732	-0.6755581445356631	-1.4277045021848986	-0.1374100949985415	-0.0710580855827398	1.0248984196117803
170.0	2010	0.7075182210761756	1.2202242596294082	-1.4131613153870397	-0.0010785951343066	0.0	0.0	1.0	0.0	0.3125130259417043	-0.6755581445356631	-1.4277045021848986	-0.1374100949985415	-0.0710580855827398	1.0248984196117803
149.0	2010	0.7075182210761756	1.2202242596294082	-1.3649904509531736	0.3650785797679938	0.0	0.0	1.0	0.0	0.375695471355267	-0.6755581445356631	-1.4277045021848986	-0.1374100949985415	-0.0710580855827398	1.1219790328453687
154.0	2010	0.7075182210761756	1.2202242596294082	-1.2237606224566255	0.7062827483040456	0.0	0.0	1.0	0.0	0.411828563141298	-0.6062743842058769	-1.4277045021848986	-0.1374100949985415	-0.0710580855827398	1.1219790328453687
164.0	2010	0.7075182210761756	1.2202242596294082	-0.9990964093161095	0.9992814102546632	0.0	0.0	1.0	0.0	0.4479616549273291	-0.6062743842058769	-1.345576060224635	-0.1374100949985415	1.212845601822231	1.0248984196117803
156.0	2010	0.7075182210761756	1.2202242596294082	-0.7063083063819846	1.2241071910110966	0.0	0.0	1.0	0.0	0.5111441003408919	-0.6755581445356631	-1.345576060224635	-0.1374100949985415	2.496749289227201	1.1219790328453687
126.0	2010	0.7075182210761756	1.2202242596294082	-0.3653493390139936	1.365438585156964	0.0	0.0	1.0	0.0	0.5743265457544545	-0.6755581445356631	-1.4277045021848986	-0.1374100949985415	3.780652976632172	1.0248984196117803
90.0	2010	0.7075182210761756	1.2202242596294082	0.0005447026230713	1.4136440917423974	0.0	0.0	1.0	0.0	0.6375089911680172	-0.6062743842058769	-1.4277045021848986	-0.1374100949985415	5.064556664037142	1.0248984196117803
63.0	2010	0.7075182210761756	1.2202242596294082	0.3664387442601352	1.3654385851569646	0.0	0.0	1.0	0.0	0.70069143658158	-0.6755581445356631	-1.4277045021848986	-0.1374100949985415	6.348460351442113	0.9278178063781924
65.0	2010	0.7075182210761756	1.2202242596294082	0.7073977116281266	1.224107191011097	0.0	0.0	1.0	0.0	0.7638738819951425	-0.6755581445356631	-1.5098329441451626	-0.1374100949985415	7.632364038847084	0.9278178063781924
55.0	2010	0.7075182210761756	1.2202242596294082	1.000185814562252	0.9992814102546635	0.0	0.0	1.0	0.0	0.8450219428777374	-0.6755581445356631	-1.5098329441451626	-0.1374100949985415	8.916267726252054	0.8307371931446044
65.0	2010	0.7075182210761756	1.2202242596294082	1.2248500277027683	0.7062827483040456	0.0	0.0	1.0	0.0	0.9082043882913002	-0.6755581445356631	-1.4277045021848986	-0.1374100949985415	10.200171413657024	0.7336565799110163
83.0	2010	0.7075182210761756	1.2202242596294082	1.366079856199316	0.3650785797679944	0.0	0.0	1.0	0.0	0.9893524491738952	-0.7448419048654493	-1.5098329441451626	-0.1374100949985415	11.484075101061997	0.7336565799110163
91.0	2010	0.7075182210761756	1.2202242596294082	1.414250720633182	-0.0010785951343063	0.0	0.0	1.0	0.0	1.07050051005649	-0.8141256651952355	-1.4277045021848986	-0.1374100949985415	12.767978788466966	0.7336565799110163
86.0	2010	0.7075182210761756	1.2202242596294082	1.366079856199316	-0.3672357700366072	0.0	0.0	1.0	0.0	1.151648570939085	-0.8141256651952355	-1.4277045021848986	-0.1374100949985415	14.051882475871937	0.7336565799110163
82.0	2010	0.7075182210761756	1.2202242596294082	1.2248500277027683	-0.7084399385726579	0.0	0.0	1.0	0.0	1.23279663182168	-0.8141256651952355	-1.4277045021848986	-0.1374100949985415	15.335786163276907	0.7336565799110163
86.0	2010	0.7075182210761756	1.2202242596294082	1.0001858145622522	-1.001438600523276	0.0	0.0	1.0	0.0	1.3321121690212734	-0.8834094255250218	-1.4277045021848986	-0.1374100949985415	16.619689850681876	0.6365759666774282
78.0	2010	0.7075182210761756	1.2202242596294082	0.7073977116281266	-1.2262643812797096	0.0	0.0	1.0	0.0	1.4132602299038686	-0.8834094255250218	-1.4277045021848986	-0.1374100949985415	19.187497225491818	0.6365759666774282
98.0	2010	0.7075182210761756	1.2202242596294082	0.3664387442601356	-1.367595775425577	0.0	0.0	1.0	0.0	1.494408290786463	-0.8834094255250218	-1.4277045021848986	-0.1374100949985415	20.47140091289679	0.5394953534438401
107.0	2010	0.7075182210761756	1.2202242596294082	0.0005447026230715	-1.41580128201101	0.0	0.0	1.0	0.0	1.593723827986057	-0.8834094255250218	-1.4277045021848986	-0.1374100949985415	21.75530460030176	0.442414740210252
90.0	2010	0.7075182210761756	1.2202242596294082	-0.3653493390139925	-1.3675957754255772	0.0	0.0	1.0	0.0	1.6569062733996198	-0.8834094255250218	-1.4277045021848986	-0.1374100949985415	24.323111975111697	0.345334126976664
96.0	2010	0.7075182210761756	1.2202242596294082	-0.7063083063819836	-1.2262643812797098	0.0	0.0	1.0	0.0	1.7741874260682458	-0.8834094255250218	-1.4277045021848986	-0.1374100949985415	25.60701566251667	0.345334126976664
95.0	2010	0.7075182210761756	1.2202242596294082	-0.9990964093161088	-1.0014386005232767	0.0	0.0	1.0	0.0	1.8735029632678395	-0.8834094255250218	-1.4277045021848986	-0.1374100949985415	26.89091934992164	0.345334126976664
86.0	2010	0.7075182210761756	1.2202242596294082	-1.223760622456625	-0.7084399385726589	0.0	0.0	1.0	0.0	1.9728185004674328	-0.8834094255250218	-1.4277045021848986	-0.1374100949985415	28.17482303732661	0.345334126976664
70.0	2010	0.7075182210761756	1.2202242596294082	-1.3649904509531734	-0.3672357700366072	0.0	0.0	1.0	0.0	2.036000945880996	-0.8834094255250218	-1.4277045021848986	-0.1374100949985415	29.45872672473158	0.345334126976664
61.0	2010	0.7075182210761756	1.2202242596294082	-1.4131613153870397	-0.0010785951343066	0.0	1.0	0.0	0.0	2.0991833912945586	-0.8834094255250218	-1.4277045021848986	-0.1374100949985415	30.74263041213655	0.442414740210252
53.0	2010	0.7075182210761756	1.2202242596294082	-1.3649904509531736	0.3650785797679938	0.0	1.0	0.0	0.0	-0.4634400736421135	-0.8834094255250218	-1.5098329441451626	-0.1374100949985415	32.02653409954152	0.5394953534438401
71.0	2010	0.7075182210761756	1.2202242596294082	-1.2237606224566255	0.7062827483040456	1.0	0.0	0.0	0.0	-0.4454744581730813	-0.8141256651952355	-1.5098329441451626	-0.1374100949985415	33.310437786946494	0.5394953534438401
72.0	2010	0.7075182210761756	1.2202242596294082	-0.9990964093161095	0.9992814102546632	1.0	0.0	0.0	0.0	-0.4002576282285508	-0.8834094255250218	-1.5098329441451626	-0.1374100949985415	34.59434147435146	0.6365759666774282
76.0	2010	0.7075182210761756	1.2202242596294082	-0.7063083063819846	1.2241071910110966	1.0	0.0	0.0	0.0	-0.3370751828149881	-0.8834094255250218	-1.5098329441451626	-0.1374100949985415	-0.0710580855827398	0.6365759666774282
73.0	2010	0.7075182210761756	1.2202242596294082	-0.3653493390139936	1.365438585156964	1.0	0.0	0.0	0.0	-0.2559271219323932	-0.952693185854808	-1.5919613861054265	-0.1374100949985415	-0.0710580855827398	0.6365759666774282
