NO	YEAR	MONTH	DAY	HOUR	PM25	DEWPOINT	TEMP	PRESION	WIND_DIRECTION	WIND_SPEED	SNOW	RAIN	FECHA	FECHA_SIN_H	WIND_DIRECTION_NE	WIND_DIRECTION_NW	WIND_DIRECTION_SE	WIND_DIRECTION_cv	DEWPOINT_scaled	TEMP_scaled	PRESION_scaled	WIND_SPEED_scaled	SNOW_scaled	RAIN_scaled
25	2010	1	2	0	129.0	-16	-4.0	1020.0	SE	1.79	0	0	2010-01-02 00:00:00	2010-01-02	0.0	0.0	1.0	0.0	-1.229791229182329	-1.3471431485732523	0.34532949878663655	-0.4449440993434362	-0.07105723042915088	-0.13740841856825264
26	2010	1	2	1	148.0	-15	-4.0	1020.0	SE	2.68	0	0	2010-01-02 01:00:00	2010-01-02	0.0	0.0	1.0	0.0	-1.1605078939732387	-1.3471431485732523	0.34532949878663655	-0.427006663101206	-0.07105723042915088	-0.13740841856825264
27	2010	1	2	2	159.0	-11	-5.0	1021.0	SE	3.57	0	0	2010-01-02 02:00:00	2010-01-02	0.0	0.0	1.0	0.0	-0.8833745531368773	-1.4292782035536475	0.4424111358585101	-0.40906922685897584	-0.07105723042915088	-0.13740841856825264
28	2010	1	2	3	181.0	-7	-5.0	1022.0	SE	5.36	1	0	2010-01-02 03:00:00	2010-01-02	0.0	0.0	1.0	0.0	-0.6062412123005159	-1.4292782035536475	0.5394927729303837	-0.3729928101470747	1.2128617531407553	-0.13740841856825264
29	2010	1	2	4	138.0	-7	-5.0	1022.0	SE	6.25	2	0	2010-01-02 04:00:00	2010-01-02	0.0	0.0	1.0	0.0	-0.6062412123005159	-1.4292782035536475	0.5394927729303837	-0.35505537390484454	2.4967807367106616	-0.13740841856825264
30	2010	1	2	5	109.0	-7	-6.0	1022.0	SE	7.14	3	0	2010-01-02 05:00:00	2010-01-02	0.0	0.0	1.0	0.0	-0.6062412123005159	-1.5114132585340427	0.5394927729303837	-0.33711793766261433	3.7806997202805674	-0.13740841856825264
31	2010	1	2	6	105.0	-7	-6.0	1023.0	SE	8.93	4	0	2010-01-02 06:00:00	2010-01-02	0.0	0.0	1.0	0.0	-0.6062412123005159	-1.5114132585340427	0.6365744100022573	-0.30104152095071324	5.064618703850473	-0.13740841856825264
32	2010	1	2	7	124.0	-7	-5.0	1024.0	SE	10.72	0	0	2010-01-02 07:00:00	2010-01-02	0.0	0.0	1.0	0.0	-0.6062412123005159	-1.4292782035536475	0.7336560470741309	-0.2649651042388121	-0.07105723042915088	-0.13740841856825264
33	2010	1	2	8	120.0	-8	-6.0	1024.0	SE	12.51	0	0	2010-01-02 08:00:00	2010-01-02	0.0	0.0	1.0	0.0	-0.6755245475096062	-1.5114132585340427	0.7336560470741309	-0.22888868752691097	-0.07105723042915088	-0.13740841856825264
34	2010	1	2	9	132.0	-7	-5.0	1025.0	SE	14.3	0	0	2010-01-02 09:00:00	2010-01-02	0.0	0.0	1.0	0.0	-0.6062412123005159	-1.4292782035536475	0.8307376841460045	-0.19281227081500982	-0.07105723042915088	-0.13740841856825264
35	2010	1	2	10	140.0	-7	-5.0	1026.0	SE	17.43	1	0	2010-01-02 10:00:00	2010-01-02	0.0	0.0	1.0	0.0	-0.6062412123005159	-1.4292782035536475	0.927819321217878	-0.12972892762604304	1.2128617531407553	-0.13740841856825264
36	2010	1	2	11	152.0	-8	-5.0	1026.0	SE	20.56	0	0	2010-01-02 11:00:00	2010-01-02	0.0	0.0	1.0	0.0	-0.6755245475096062	-1.4292782035536475	0.927819321217878	-0.0666455844370763	-0.07105723042915088	-0.13740841856825264
